context_type,difficulty,model_name,pref_group,filename,experiment_group,valid_samples,parse_success,parse_fail,parse_error_rate,domain_acc,domain_f1,slot_f1,slot_prec,slot_rec,pref_slot_f1,pref_slot_prec,pref_slot_rec,file_path
diag-apilist,easy,multiturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,332,330,2,0.006,0.7892,0.7915,0.1254,0.1921,0.093,0.2188,0.1921,0.2542,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,easy,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.997,0.997,0.577,0.4742,0.7368,0.5776,0.475,0.7368,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,332,319,13,0.0392,0.9428,0.9616,0.442,0.3204,0.7119,0.6817,0.6539,0.7119,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,332,316,16,0.0482,0.8735,0.8909,0.3032,0.2076,0.5623,0.5751,0.5884,0.5623,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,easy,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,332,329,3,0.009,0.9699,0.9743,0.2989,0.1931,0.662,0.6144,0.5731,0.662,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.5904,0.5904,0.1814,0.1593,0.2105,0.3083,0.5758,0.2105,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,332,332,0,0.0,1.0,1.0,0.6044,0.5009,0.7618,0.6044,0.5009,0.7618,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,easy,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.997,0.997,0.4817,0.375,0.6731,0.5504,0.4655,0.6731,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,multiturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,472,468,4,0.0085,0.6864,0.6886,0.1548,0.231,0.1164,0.2912,0.2316,0.3923,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,hard,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,472,472,0,0.0,1.0,1.0,0.1983,0.1495,0.2945,0.1983,0.1495,0.2945,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,472,445,27,0.0572,0.8559,0.867,0.1077,0.0769,0.1801,0.1698,0.1607,0.1801,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,472,423,49,0.1038,0.7521,0.7808,0.0431,0.0289,0.0847,0.0899,0.0957,0.0847,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,hard,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,472,446,26,0.0551,0.8729,0.8973,0.0739,0.0492,0.1483,0.1357,0.125,0.1483,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
